name,latitude,longitude,location_id,num_reviews,ranking_position,ranking_denominator,ranking_category,rating,address,cuisine,establishment_types,price,Bar,Italian,Japanese,American,Steakhouse,Cafe,Indian,Asian,Healthy,German,Central European,Mediterranean,European,Vegan Options,Gluten Free Options,Seafood,min price,max price,rating_category
Pho Viet,51.342213,12.375094,6771056,347,20,661,B,4.0,"Katharinenstr. 15 Zentrum, 04109, Leipzig, Saxony Germany",Asian,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,0,0,C
Thuringer Hof,51.338303,12.373326,1320255,284,21,661,C,4.0,"Burgstr. 19 Zentrum, 04109, Leipzig, Saxony Germany",German,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,N/A,N/A,N/A,0,0,C
Bagel Brothers,51.342842,12.378468,1340753,270,22,661,C,4.0,"Nikolaistr. 42, 04109, Leipzig, Saxony Germany",American,Quick Bites,$3 - $10,N/A,N/A,N/A,Available,N/A,Available,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,$3 , $10,C
Munsters,51.35842,12.360203,3747816,140,23,661,C,4.5,"Platnerstr. 11-13, 04155, Leipzig, Saxony Germany",German,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,N/A,N/A,N/A,0,0,B
An Nam,51.340893,12.367794,1913547,134,24,661,C,4.5,"Gottschedstr. 13 Zentrum, 04109, Leipzig, Saxony Germany",Asian,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,0,0,B
Falco - Restaurant & Bar,51.346462,12.375787,1465485,280,25,661,C,4.5,"Gerberstrasse 15 Westin Hotel Marriott, 04105, Leipzig, Saxony Germany",Central European,Restaurants,$60 - $100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,$60 , $100,B
Wenzel Leipzig,51.341236,12.372597,3954562,193,26,661,C,4.0,"Kleine Fleischergasse 8, 04109, Leipzig, Saxony Germany",European,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,Available,Available,N/A,0,0,C
Biorestaurant Macis,51.337543,12.371969,1499004,115,27,661,C,4.5,"Markgrafenstr. 10 Zentrum, 04109, Leipzig, Saxony Germany",European,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,Available,N/A,N/A,0,0,B
Ha Noi Cuisine,51.342724,12.378301,10351208,156,28,661,C,4.0,"Bruhlstrasse 54, 04109, Leipzig, Saxony Germany",Asian,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,0,0,C
Valentino Leipzig,51.343296,12.372815,4366427,157,29,661,C,4.0,"Bruhl 1 Höfe am Brühl, 04109, Leipzig, Saxony Germany",Italian,Restaurants,$5 - $29,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,Available,Available,N/A,$5 , $29,C
