name,latitude,longitude,location_id,num_reviews,ranking_position,ranking_denominator,ranking_category,rating,address,cuisine,establishment_types,price,Bar,Italian,Japanese,American,Steakhouse,Cafe,Indian,Asian,Healthy,German,Central European,Mediterranean,European,Vegan Options,Gluten Free Options,Seafood,min price,max price,rating_category
Habibi,50.929523,6.937776,715352,319,23,2171,C,4.5,"Zuelpicher Str. 28, 50674 Cologne, North Rhine-Westphalia Germany",Lebanese,Restaurants,$3 - $15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,Available,N/A,$3 , $15,B
Max Stark,50.949306,6.961872,1866174,671,24,2171,C,4.5,"Unter Kahlenhausen 47, 50668 Cologne, North Rhine-Westphalia Germany",German,Restaurants,,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,N/A,N/A,N/A,0,0,B
Lommerzheim,50.938766,6.973614,966510,1081,25,2171,C,4.5,"Siegesstr. 18, 50679 Cologne, North Rhine-Westphalia Germany",German,Restaurants,$1,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,Available,N/A,N/A,N/A,$1,0,B
Tapeo & Co.,50.933975,6.936228,965558,362,26,2171,C,4.5,"Lindenstrasse 38, 50674 Cologne, North Rhine-Westphalia Germany",Mediterranean,Restaurants,$3 - $18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,N/A,N/A,$3 , $18,B
Marcellino,50.951393,6.952247,4096493,178,27,2171,C,4.5,"Krefelder Str. 39, 50670 Cologne, North Rhine-Westphalia Germany",Italian,Restaurants,$29 - $55,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,Available,N/A,$29 , $55,B
Gilden Brauhaus,50.971043,7.006332,1940047,365,28,2171,C,4.5,"Clevischer Ring 121, 51063 Cologne, North Rhine-Westphalia Germany",German,Restaurants,,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,Available,N/A,N/A,0,0,B
HASE,50.938824,6.945293,825538,309,29,2171,C,4.5,"St.-Apern-Str. 17-21, 50667 Cologne, North Rhine-Westphalia Germany",German,Restaurants,$19 - $50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,Available,Available,N/A,$19 , $50,B
Zen Japanese Restaurant - Lindenthal,50.924984,6.907069,7682077,236,30,2171,C,4.5,"Bachemer Str. 236, 50935 Cologne, North Rhine-Westphalia Germany",Japanese,Restaurants,$9 - $40,N/A,N/A,Available,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,$9 , $40,B
Limani,50.922363,6.968054,1872978,409,31,2171,D,4.5,"Agrippinawerft 6, 50678 Cologne, North Rhine-Westphalia Germany",Seafood,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,Available,Available,Available,0,0,B
ST. LOUIS Breakfast,50.92891,6.936154,19815955,99,32,2171,D,4.5,"Meister-Gerhard-Str. 30, 50674 Cologne, North Rhine-Westphalia Germany",International,Restaurants,$2 - $15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$2 , $15,B
