name,latitude,longitude,location_id,num_reviews,ranking_position,ranking_denominator,ranking_category,rating,address,cuisine,establishment_types,price,Bar,Italian,Japanese,American,Steakhouse,Cafe,Indian,Asian,Healthy,German,Central European,Mediterranean,European,Vegan Options,Gluten Free Options,Seafood,min price,max price,rating_category
Milias Coffee,51.25679,7.14731,5825900,48,20,319,B,4.5,"Kirchstr. 10, 42103 Wuppertal, North Rhine-Westphalia Germany",Cafe,Coffee & Tea,,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,0,0,B
L'Osteria Wuppertal,51.257374,7.144239,13283460,80,21,319,C,4.0,"Erholungstrasse 19, 42103 Wuppertal, North Rhine-Westphalia Germany",Italian,Restaurants,$3 - $13,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,N/A,N/A,$3 , $13,C
Aal-Kate in der Lachs-Raucherei Wortberg,51.31177,7.24924,1040820,66,22,319,C,4.5,"Schmiedestr. 57, 42279 Wuppertal, North Rhine-Westphalia Germany",Japanese,Restaurants,$6 - $25,N/A,N/A,Available,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,$6 , $25,B
Grigio,51.26993,7.107335,6153201,62,23,319,C,4.0,"In der Beek 163, 42113 Wuppertal, North Rhine-Westphalia Germany",Italian,Restaurants,,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,N/A,0,0,C
Delhi-Roma,51.25539,7.137819,7346124,52,24,319,C,4.5,"Friedrich-Ebert-Str. 37, 42103 Wuppertal, North Rhine-Westphalia Germany",Indian,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,0,0,B
Wupper Grill,51.27498,7.223014,6405303,45,25,319,C,4.5,"Berliner Platz 3, 42277 Wuppertal, North Rhine-Westphalia Germany",Fast Food,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,B
79 Degree,51.256615,7.13774,8817392,60,26,319,C,4.5,"Luisenstr. 61, 42103 Wuppertal, North Rhine-Westphalia Germany",European,Restaurants,$11 - $79,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,$11 , $79,B
Katzengold,51.25587,7.13633,1342171,131,27,319,C,4.0,"Untergruenewalder Str. 3, 42103 Wuppertal, North Rhine-Westphalia Germany",German,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,Available,N/A,N/A,0,0,C
Primavera a Merano,51.25595,7.13925,6909659,89,28,319,C,4.0,"Friedrich-Ebert-Str. 21, 42103 Wuppertal, North Rhine-Westphalia Germany",Italian,Restaurants,,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,0,0,C
Restaurant Karawane,51.256397,7.156168,2536082,71,29,319,C,4.0,"Hofaue 6, 42103 Wuppertal, North Rhine-Westphalia Germany",Middle Eastern,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,0,0,C
Hellas Restaurant,51.26787,7.19905,743117,96,30,319,C,4.0,"Fischertal 29, 42287 Wuppertal, North Rhine-Westphalia Germany",Greek,Restaurants,$5 - $30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,$5 , $30,C
Brokat Bar,51.249092,7.129588,17234130,24,31,319,D,4.5,"Gutenbergstr. 14, 42117 Wuppertal, North Rhine-Westphalia Germany",Italian,Bars & Pubs,$3 - $35,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,Available,N/A,N/A,N/A,$3 , $35,B
Wuppertaler Brauhaus,51.2726,7.200722,1981670,287,32,319,D,3.5,"Kleine Flurstr. 5, 42275 Wuppertal, North Rhine-Westphalia Germany",German,Restaurants,$7 - $20,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,N/A,N/A,N/A,$7 , $20,C
