name,latitude,longitude,location_id,num_reviews,ranking_position,ranking_denominator,ranking_category,rating,address,cuisine,establishment_types,price,Bar,Italian,Japanese,American,Steakhouse,Cafe,Indian,Asian,Healthy,German,Central European,Mediterranean,European,Vegan Options,Gluten Free Options,Seafood,min price,max price,rating_category
Mimi's Thaikitchen,52.35947,9.751006,8728416,145,21,948,C,4.5,"Hildesheimer Str. 92, 30169, Hannover, Lower Saxony Germany",Asian,Restaurants,$4 - $13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,$4 , $13,B
Il Tartufo,52.303032,9.807772,2011662,131,22,948,C,4.5,"Ahornstr. 12, 30880 Laatzen, Hannover, Lower Saxony Germany",Pizza,Restaurants,,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,N/A,N/A,0,0,B
Palladion,52.359943,9.855569,1041608,97,23,948,C,4.5,"Winkelstrasse 1, 30559, Hannover, Lower Saxony Germany",Greek,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,N/A,0,0,B
Sushi-Do,52.37462,9.745009,1557289,108,24,948,C,4.5,"Thielenplatz 3, 30159, Hannover, Lower Saxony Germany",Japanese,Restaurants,,N/A,N/A,Available,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,0,0,B
Sultan Palace,52.394432,9.693547,1041644,154,25,948,C,4.5,"Schaumburg strasse 3, 30419, Hannover, Lower Saxony Germany",Barbecue,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,0,0,B
Jante,52.370308,9.76069,8531130,159,26,948,C,4.5,"Marienstr. 116, 30171, Hannover, Lower Saxony Germany",European,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,N/A,0,0,B
Teestuebchen,52.37258,9.732637,964912,171,27,948,C,4.5,"Ballhofplatz 2, 30159, Hannover, Lower Saxony Germany",German,Coffee & Tea,$2 - $40,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,Available,N/A,N/A,N/A,Available,N/A,N/A,$2 , $40,B
Hoi! Willkommen in Sudtirol,52.370255,9.736119,23157928,33,28,948,C,5.0,"Karmarschstrasse 49, 30159, Hannover, Lower Saxony Germany",Northern-Italian,Restaurants,$1 - $20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$1 , $20,A
Guru,52.389786,9.746645,8409358,148,29,948,C,4.5,"Jakobistr. 24, 30163, Hannover, Lower Saxony Germany",Indian,Restaurants,$6 - $39,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,$6 , $39,B
Kuhnstwerk,52.37098,9.737681,11753593,171,30,948,C,4.0,"Roselerstr. 7, 30159, Hannover, Lower Saxony Germany",American,Restaurants,,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,0,0,C
Schuberts Brasserie,52.35853,9.748772,15594310,48,31,948,D,4.5,"Geibelstr. 77, 30173, Hannover, Lower Saxony Germany",European,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,N/A,N/A,N/A,0,0,B
Pier 51,52.3541,9.745897,1805909,326,32,948,D,4.0,"Rudolf-von-Bennigsen-Ufer 51, 30173, Hannover, Lower Saxony Germany",European,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,Available,N/A,N/A,0,0,C
Francesca & Fratelli Pizza Manufaktur,52.373493,9.707531,7260238,176,33,948,D,4.0,"Limmerstr. 47, 30451, Hannover, Lower Saxony Germany",Italian,Restaurants,,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,Available,N/A,0,0,C
Restaurant Royal City,52.37049,9.739604,7129900,124,34,948,D,4.5,"Osterstr. 42, 30159, Hannover, Lower Saxony Germany",Asian,Restaurants,$7 - $22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,$7 , $22,B
Street Kitchen,52.372746,9.709707,3255172,196,35,948,D,4.0,"Limmerstr. 26, 30451, Hannover, Lower Saxony Germany",Asian,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,0,0,C
Max Walloschke,52.375957,9.73165,1005693,95,36,948,D,4.5,"Lange Laube 1, 30159, Hannover, Lower Saxony Germany",German,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,N/A,N/A,N/A,0,0,B
Le Feu - Der Flammkuchen in Hannover,52.3833,9.75318,19242651,43,37,948,D,5.0,"Bodekerstrasse 46, 30161, Hannover, Lower Saxony Germany",French,Restaurants,$4 - $18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,N/A,N/A,N/A,$4 , $18,A
Jack the Ripper's London Tavern,52.374447,9.738374,2286609,95,38,948,D,4.5,"Georgstrasse 26, 30159, Hannover, Lower Saxony Germany",Bar,Bars & Pubs,,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,B
Rossini,52.37628,9.747153,1005702,214,39,948,D,4.5,"Ferdinandstrasse 5, 30175, Hannover, Lower Saxony Germany",Italian,Restaurants,,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,Available,N/A,0,0,B
Ruenthai,52.374233,9.745633,1340882,146,40,948,D,4.0,"Lavesstr. 79, 30159, Hannover, Lower Saxony Germany",Asian,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,0,0,C
Koh-I-Noor Dhaba,52.359882,9.750711,2018853,109,41,948,E,4.5,"Hildesheimer Str. 85, 30169, Hannover, Lower Saxony Germany",Indian,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,0,0,B
The Harp,52.368057,9.720833,10226432,115,42,948,E,4.5,"Schwarzer Baer 1, 30449, Hannover, Lower Saxony Germany",American,Bars & Pubs,,Available,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,B
Masa,52.371387,9.739935,1340104,86,43,948,E,4.5,"Georgstr. 50b, 30159, Hannover, Lower Saxony Germany",Middle Eastern,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,0,0,B
Eliniko,52.370316,9.759026,2434912,116,44,948,E,4.5,"Marienstr. 104, 30171, Hannover, Lower Saxony Germany",Mediterranean,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,N/A,0,0,B
BLOCK HOUSE Am Aegi,52.367943,9.744256,1308296,240,45,948,E,4.0,"Hildesheimer Str. 9, 30169, Hannover, Lower Saxony Germany",Steakhouse,Restaurants,$4 - $28,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$4 , $28,C
Outbax Spirit,52.401337,9.80288,1340951,119,46,948,E,4.5,"Gross-Buchholzer Kirchweg 68, 30655, Hannover, Lower Saxony Germany",Barbecue,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,B
Das Abendmahl,52.36433,9.747267,2013694,179,47,948,E,4.5,"Hildesheimer Str. 37, 30169, Hannover, Lower Saxony Germany",Italian,Restaurants,,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,N/A,N/A,0,0,B
OJi Long,52.37261,9.733647,15234208,37,48,948,E,5.0,"Knochenhauerstr. 25, 30159, Hannover, Lower Saxony Germany",Japanese,Restaurants,,N/A,N/A,Available,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,0,0,A
piu trattoria & espresso bar,52.37416,9.72768,1340714,111,49,948,E,4.5,"Goethestr. 22, 30169, Hannover, Lower Saxony Germany",Italian,Restaurants,,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,N/A,N/A,0,0,B
Bambus Garden,52.36109,9.83141,5606666,90,50,948,E,4.5,"Tiergartenstr. 138, 30559, Hannover, Lower Saxony Germany",Chinese,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,0,0,B
