name,latitude,longitude,location_id,num_reviews,ranking_position,ranking_denominator,ranking_category,rating,address,cuisine,establishment_types,price,Bar,Italian,Japanese,American,Steakhouse,Cafe,Indian,Asian,Healthy,German,Central European,Mediterranean,European,Vegan Options,Gluten Free Options,Seafood,min price,max price,rating_category
Uni Falafel,51.48135,7.41013,1340779,56,36,614,D,4.5,"Stockumer Str. 407, 44227 Dortmund, North Rhine-Westphalia Germany",Turkish,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,0,0,B
KimBaBBox,51.50488,7.45912,2351343,59,37,614,D,4.5,"Hohe Str. 57, 44139 Dortmund, North Rhine-Westphalia Germany",Sushi,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,B
Froilein Meier,51.50429,7.44931,8019467,41,38,614,D,4.5,"Grosse Heimstr. 45, 44137 Dortmund, North Rhine-Westphalia Germany",Cafe,Restaurants,,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,0,0,B
Latino Sol,51.52158,7.45312,10477746,63,39,614,D,4.5,"Schuetzenstr. 46, 44147 Dortmund, North Rhine-Westphalia Germany",Spanish,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,0,0,B
Trattoria Buon Gusto,51.476074,7.438842,7274430,93,40,614,D,4.5,"Harkortstr. 57a Am Hombrucher Marktplatz, 44225 Dortmund, North Rhine-Westphalia Germany",Italian,Restaurants,,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,0,0,B
Ciccio's,51.500023,7.451697,5818101,135,41,614,E,4.0,"Lindemannstr. 77, 44137 Dortmund, North Rhine-Westphalia Germany",Italian,Restaurants,,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,Available,N/A,N/A,0,0,C
Pfefferkorn's No.1 Am Markt,51.513733,7.466666,961136,171,42,614,E,4.0,"Markt 6, 44137 Dortmund, North Rhine-Westphalia Germany",German,Restaurants,$8 - $30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,N/A,N/A,N/A,$8 , $30,C
Das Kuchlein,51.505306,7.447913,11876590,29,43,614,E,5.0,"Neuer Graben 107, 44137 Dortmund, North Rhine-Westphalia Germany",Cafe,Coffee & Tea,$3 - $10,N/A,Available,N/A,N/A,N/A,Available,N/A,N/A,N/A,Available,N/A,N/A,N/A,Available,Available,N/A,$3 , $10,A
Restaurant Pferdestall,51.518337,7.334521,1426180,91,44,614,E,4.0,"Grubenweg 5, 44388 Dortmund, North Rhine-Westphalia Germany",German,Restaurants,$1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,Available,N/A,N/A,$1,0,C
Restaurant Jaegerheim,51.461918,7.500966,10901203,170,45,614,E,4.0,"Niederhofer Kohlenweg 170, 44265 Dortmund, North Rhine-Westphalia Germany",German,Restaurants,$6 - $30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,Available,N/A,N/A,$6 , $30,C
Sweet Chilli,51.512924,7.447808,5563303,80,46,614,E,4.5,"Rheinische Str. 60, 44137 Dortmund, North Rhine-Westphalia Germany",Indian,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,0,0,B
Chuzo,51.507523,7.451278,7369214,89,47,614,E,4.0,"Kleine Beurhausstr. 26, 44137 Dortmund, North Rhine-Westphalia Germany",Spanish,Restaurants,$4 - $15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,Available,N/A,$4 , $15,C
Kartoffel-Lord,51.516094,7.466015,1340218,66,48,614,E,4.5,"44135, Dortmund, Nordrhein-Westfalen Gerberstr. 1, 44135 Dortmund, North Rhine-Westphalia Germany",Middle Eastern,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,0,0,B
Grill 69,51.503887,7.466389,12526971,40,49,614,E,4.5,"Ruhrallee 69, 44139 Dortmund, North Rhine-Westphalia Germany",American,Restaurants,,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,0,0,B
Kieztortchen,51.503616,7.453286,3247522,60,50,614,E,4.5,"Essener Str. 12, 44139 Dortmund, North Rhine-Westphalia Germany",Cafe,Coffee & Tea,,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,0,0,B
